explorer_url,tx_hash,block_number,log_index,depositor,tokenFrom,symbol,decimals,amount_raw,amount_human
https://basescan.org/tx/0xe51280caa8dc985fe6d9f3d0942bc6ebd46cf3c35a8f803586a6faa511cba2c1,0xe51280caa8dc985fe6d9f3d0942bc6ebd46cf3c35a8f803586a6faa511cba2c1,39771767,307,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0xa25252025325bd9bdbed9a0f35b1d12ada491d24172838f3a6281d658a58508d,0xa25252025325bd9bdbed9a0f35b1d12ada491d24172838f3a6281d658a58508d,39771823,447,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0x80b00f4d823a0d4c7fd18b3bfa99840ac33c96e1ccfb264b7bfe1bfc117527a3,0x80b00f4d823a0d4c7fd18b3bfa99840ac33c96e1ccfb264b7bfe1bfc117527a3,39771902,1294,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,66000000000000000,0.066
https://basescan.org/tx/0xecc6467895792432247ab839ed67d3e63b8f0ae458b023393ac44ef7c95a7486,0xecc6467895792432247ab839ed67d3e63b8f0ae458b023393ac44ef7c95a7486,39771984,756,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0xd4781619fc0b5b5bfbbe88fb3df101203ff7c750600c6b1e5d21ceba98ac61db,0xd4781619fc0b5b5bfbbe88fb3df101203ff7c750600c6b1e5d21ceba98ac61db,39772075,425,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0x43d4ef80eb33893062efdee21bba3a1004a9d2cf472ae4f2b221354e88fe4474,0x43d4ef80eb33893062efdee21bba3a1004a9d2cf472ae4f2b221354e88fe4474,39772181,599,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0x8b083dd8acab9edfdbfc6215b71e85dfacad6e5f07b90d21fd08692a84f3609c,0x8b083dd8acab9edfdbfc6215b71e85dfacad6e5f07b90d21fd08692a84f3609c,39772267,504,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,66000000000000000,0.066
https://basescan.org/tx/0x521ecced7d461a2b5b71ad64405a4fb92ef95c17d555d65e6b46f8d5551cd6bd,0x521ecced7d461a2b5b71ad64405a4fb92ef95c17d555d65e6b46f8d5551cd6bd,39772352,1167,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0x9eb9e226dd49c566e7496570460dba420b49225d6c667780c2c6b63fad7d9523,0x9eb9e226dd49c566e7496570460dba420b49225d6c667780c2c6b63fad7d9523,39772424,354,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0x069dd6080c485ba68b97d76b57c5e63405dc27be23011dacc5f6fba42a4f56ca,0x069dd6080c485ba68b97d76b57c5e63405dc27be23011dacc5f6fba42a4f56ca,39772484,283,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0x849bf274e19feae24dcf80505661c4705291ba50669951f8ed35fd15173f9991,0x849bf274e19feae24dcf80505661c4705291ba50669951f8ed35fd15173f9991,39772577,843,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,66000000000000000,0.066
https://basescan.org/tx/0x86d56e084616c3577615781c4b177973ac6bcea5e9529e412f3f79c80d7b88cb,0x86d56e084616c3577615781c4b177973ac6bcea5e9529e412f3f79c80d7b88cb,39772697,549,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0xcfea26e924483e0910e7ab177bc586e9f2e59087854ef5addb8ee4c2cbfef130,0xcfea26e924483e0910e7ab177bc586e9f2e59087854ef5addb8ee4c2cbfef130,39772793,846,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0x3faa123ce0e0d5c652354132456d6fc6805a3805b3645f67d090cc6c3bb13585,0x3faa123ce0e0d5c652354132456d6fc6805a3805b3645f67d090cc6c3bb13585,39772851,715,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
https://basescan.org/tx/0xe2fc6efeaca3a3621e1f7a59b75b3e17fb3f19023fbbcede00e5f4cc1274d9ae,0xe2fc6efeaca3a3621e1f7a59b75b3e17fb3f19023fbbcede00e5f4cc1274d9ae,39772991,828,0x78dd671a5bfa543fcb9475c3ef2bfe1298feb7ba,0x0000000000000000000000000000000000000000,ETH,18,65000000000000000,0.065
